Pays,Ville,Longitude,Latitude,Température,Humidité,Visibilité,Vitesse_vent
US,Buffalo,-78.8784,42.8865,19.21,83,10000,4.35
IQ,Al Buq,44.5056,31.9073,42.4,8,10000,7.62
PG,Bulolo,146.65,-7.2,18.79,97,10000,1.23
SO,Burao,45.5336,9.5221,31.39,33,10000,10.73
IN,Bathinda,74.95,30.2,34.73,44,10000,2.6
ZW,Bulawayo,28.5833,-20.15,23.22,14,10000,3.38
US,Burbank,-118.309,34.1808,14.36,78,10000,0.51
GE,Batumi,41.6359,41.6416,23.08,81,10000,2.99
CD,Bunia,30.25,1.5667,23.74,73,10000,0.8
AU,Bunbury,115.6333,-33.3333,12.39,75,10000,3.44
IR,Bushehr,50.8385,28.9684,33.4,57,10000,5.47
BR,Boa Vista,-60.6733,2.8197,23.99,94,1000,2.57
NO,Berlevåg,29.0864,70.8578,8.97,76,10000,2.06
AU,Birdsville,139.3667,-25.9,20.97,29,10000,4.51
BR,Belmonte,-38.8828,-15.8631,24.64,72,10000,2.55
BR,Breves,-50.4803,-1.6822,27.3,71,10000,1.68
US,Beverly,-70.8801,42.5584,21.06,93,10000,4.47
US,Brawley,-115.5303,32.9787,21.46,17,10000,2.64
MY,Butterworth,100.3638,5.3991,29.95,70,10000,3.13
CN,Bawan,115.7475,23.0402,26.8,87,10000,1.71
PL,Brac,15.728,53.2361,20.11,45,10000,5.82
BN,Brunei Town,114.9481,4.9403,28.84,88,10000,1.34
RU,Balakovo,47.8007,52.0278,23.13,34,10000,3.66
AU,Brewarrina,146.8667,-29.95,13.16,53,10000,4.24
US,Blaine,-93.2349,45.1608,17.24,88,10000,1.79
AU,Sydney,151.2073,-33.8679,12.27,66,10000,0.45
US,Woodbridge,-74.2846,40.5576,19.77,88,10000,0.45
US,Boxborough,-71.5141,42.4934,20.47,89,1529,2.24
TW,Bade,121.2847,24.9287,28.4,82,10000,0.89
SN,Bakel,-12.4568,14.905,35.82,30,10000,5.65
US,Bellburn,-80.7331,38.0418,15.33,96,2899,3.24
AU,Bendigo,144.2833,-36.7667,7.7,62,10000,1.98
CI,Boundiali,-6.4869,9.5217,26.05,77,10000,3.03
CH,Buochs,8.4228,46.974,22.91,52,10000,5.66
PL,Biała Podlaska,23.1165,52.0324,20.78,57,10000,8.25
IR,Bam,58.357,29.106,39.61,11,10000,2.46
US,Borrego Springs,-116.375,33.2559,20.74,21,10000,6.17
ID,Bontang,117.5,0.1333,26.17,84,10000,1.94
US,Boundary,-117.0014,48.9583,8.14,60,10000,1.18
AE,Diba al Bayah,56.2674,25.641,35.25,59,10000,2.99
BO,Yacuiba,-63.6797,-22.038,17.79,74,10000,1.11
LY,Al Bayḑā’,21.7551,32.7627,25.65,53,10000,7.11
CI,Bouaké,-5.0218,7.6895,23.69,79,10000,2.78
MN,Bayankhongor,100.7153,46.1933,17.74,19,10000,7.49
BR,Bonito,-56.4819,-21.1211,17.63,58,10000,1.17
IE,Bantry,-9.45,51.6833,17.66,88,10000,6.4
DE,Bayreuth,11.5783,49.9481,20.2,59,10000,5.36
AU,Balranald,143.5667,-34.6333,9.21,95,10000,3.16
PL,Bydgoszcz,18.0076,53.1235,21.23,49,10000,10.8
TR,Balıkesir Province,28.0,39.75,27.52,46,10000,6.87
RU,Bryansk,34.3806,53.2875,13.05,97,10000,3.32
BD,Barisāl,90.3711,22.7019,27.22,86,10000,6.03
US,Bozeman,-111.0386,45.6796,8.39,83,10000,0.99
IT,Bolzano,11.3336,46.4927,29.9,50,10000,1.34
CG,Brazzaville,15.2832,-4.2658,31.03,45,10000,1.27
AO,Cabinda,12.2,-5.55,24.48,74,10000,5.3
US,Columbia,-81.0348,34.0007,21.77,96,10000,3.01
BR,Carauari,-66.8958,-4.8828,24.21,90,10000,0.27
IT,Provincia di Cagliari,9.0912,39.245,30.41,55,10000,5.36
VN,Ca Mau,105.15,9.1769,28.51,70,10000,3.59
EG,Cairo,31.2497,30.0626,35.23,28,10000,6.01
VE,Canaima,-62.851,6.2399,22.28,97,10000,1.29
GB,Campbeltown,-5.6076,55.4258,15.01,94,10000,5.14
BO,Camiri,-63.5167,-20.05,16.97,87,10000,0.93
CN,Guangzhou,113.25,23.1167,29.37,59,10000,4.39
MA,Casablanca,-7.6192,33.5928,34.07,30,10000,2.68
US,Carlisle,-77.1889,40.2015,20.33,83,10000,1.34
AU,Cobar,145.8167,-31.5,9.9,86,10000,2.3
BO,Cochabamba,-66.1568,-17.3895,13.0,21,10000,0.39
CA,Cambridge,-80.3127,43.3601,18.97,95,2816,1.54
PT,Coimbra,-8.4195,40.2056,24.9,29,10000,3.53
AU,Canberra,149.1281,-35.2835,6.19,86,10000,2.68
AO,Catumbela,13.5472,-12.4314,22.44,67,10000,3.88
GT,Cobán,-90.3667,15.4833,15.84,98,10000,0.75
AU,Condobolin,147.15,-33.0833,10.5,70,10000,1.6
BO,Chimoré,-65.1333,-16.9833,23.63,74,10000,0.2
US,Los Angeles,-118.2437,34.0522,14.5,81,10000,0.77
US,Crane,-102.5171,31.4501,25.66,34,10000,4.17
CL,Chile Chico,-71.7333,-46.55,3.13,70,10000,3.06
IN,Kozhikode,75.7667,11.25,23.65,86,5863,6.9
AU,Chinchilla,150.6333,-26.75,13.91,35,10000,2.76
AF,Fayrōz Kōh,65.2509,34.5195,29.1,13,10000,9.82
CL,Concepción,-73.0498,-36.827,8.72,91,10000,0.74
BR,Cachoeira,-38.9558,-12.6183,22.0,92,10000,1.93
VE,Caracas,-66.8792,10.488,23.16,76,10000,0.45
IN,Kolkata,88.3697,22.5697,28.66,78,10000,5.84
AU,Cowell,136.9167,-33.6833,11.52,86,10000,1.82
ES,Caceres,-6.3748,39.522,36.27,18,10000,0.93
IT,Cortina d'Ampezzo,12.1377,46.5384,22.15,76,10000,0.59
BR,Conceição do Araguaia,-49.2647,-8.2578,26.13,40,10000,2.77
IN,Kadapa,78.8167,14.4667,36.0,32,6000,6.69
US,Croydon,-74.9035,40.0873,20.46,93,10000,1.34
US,Childress,-100.204,34.4264,24.96,77,10000,1.99
US,Camden,-74.9663,39.7835,20.93,92,10000,1.34
PH,Cebu City,123.8907,10.3167,27.34,81,10000,1.6
US,Crescent City,-124.2018,41.756,11.92,95,10000,1.42
AU,Ceduna,133.6667,-32.1167,13.56,78,10000,4.5
RU,Cherepovets,37.9,59.1333,23.18,37,10000,1.51
TH,Chiang Rai,99.9167,19.9167,25.32,97,10000,1.42
RU,Chelyabinsk,61.4297,55.1544,20.03,37,10000,6.1
BR,Canela,-50.8156,-29.3656,16.48,82,10000,2.39
US,Central,-91.0368,30.5544,25.33,96,10000,2.53
CL,Concepción,-73.0498,-36.827,8.72,91,10000,0.74
FR,Cannes,7.0167,43.55,28.39,68,10000,5.14
AU,Cessnock,151.35,-32.8333,11.36,56,10000,1.49
US,Chena Hot Springs,-146.0556,65.0531,10.84,92,10000,0.56
FR,Arrondissement de Clermont-Ferrand,3.0,45.6667,20.98,44,10000,3.03
US,Clifton Hills,-85.2963,35.0092,20.13,86,10000,1.25
IE,Donegal,-8.1167,54.65,18.27,91,10000,4.46
US,Creston,-94.3614,41.0586,14.33,100,10000,3.09
AU,Coffs Harbour,153.1333,-30.3,15.19,53,10000,1.99
GR,Corfu,19.9197,39.62,30.88,58,10000,4.12
GB,Cardiff,-3.18,51.48,18.48,83,10000,3.6
BR,Cuiabá,-56.0967,-15.5961,23.89,40,10000,1.81
PH,Casiguran,124.0097,12.8736,26.46,89,10000,1.43
CN,Zhengzhou,113.6486,34.7578,34.67,43,10000,5.12
CN,Changchun,125.3228,43.88,19.98,90,10000,2.44
BR,Campo Grande,-54.6464,-20.4428,18.6,50,10000,3.61
US,College Park,-76.9369,38.9807,21.48,86,10000,2.68
MR,Chingueṭṭi,-12.2622,20.4404,39.65,9,10000,7.39
VE,Ciudad Guayana,-62.6528,8.3533,26.96,88,10000,0.72
US,Chattanooga,-85.3097,35.0456,20.09,87,10000,1.26
PK,Chilas,74.1035,35.4117,32.23,34,10000,3.35
NZ,Christchurch,172.6333,-43.5333,9.23,91,10000,1.34
EE,Tallinn,24.7535,59.437,23.19,53,10000,4.63
PE,Chachapoyas,-77.869,-6.2317,9.67,92,10000,1.34
ZW,Chipinge,32.6236,-20.1883,23.26,21,10000,1.0
US,Challis,-114.2317,44.5046,9.47,92,10000,1.01
KR,Jeonju,127.1489,35.8219,22.67,95,10000,2.36
US,Charlottesville,-78.4767,38.0293,19.93,93,10000,0.89
US,Circle Hot Springs,-144.6342,65.4833,11.87,90,10000,0.58
GR,Chania,24.0156,35.5122,29.78,54,10000,3.6
FR,Châteauroux,1.7,46.8167,23.05,49,10000,2.82
US,Charleston,-79.9309,32.7766,26.7,86,10000,3.09
US,Chaves,-104.4505,33.3834,26.36,19,10000,3.65
US,Chiloquin,-121.8661,42.5776,7.67,89,10000,1.18
US,Chico,-121.8375,39.7285,17.13,69,10000,3.6
US,Cedar Rapids,-91.6441,42.0083,16.08,87,10000,1.34
AU,Collie,116.15,-33.3667,9.33,82,10000,1.11
US,Council,-116.4382,44.7299,12.12,88,10000,1.48
CO,Cimitarra,-73.9497,6.3142,22.91,96,10000,0.61
ZM,Chipata,32.65,-13.6333,26.39,20,10000,0.71
GT,Chiquimula,-89.55,14.8,21.4,97,10000,0.74
EG,Cairo,31.2497,30.0626,35.23,28,10000,6.01
KZ,Shymkent,69.6,42.3,34.79,12,10000,6.56
BR,Coari,-63.1414,-4.085,25.38,79,10000,0.32
IN,Coimbatore,76.9667,11.0,25.88,69,6000,6.69
CL,Calama,-68.9333,-22.4667,11.97,8,10000,4.15
ES,Ciudad Real,-4.0,39.0,35.39,21,10000,2.24
PK,Chitral,71.7858,35.8462,30.92,38,10000,5.59
TH,Chumphon,98.8333,10.3333,24.25,85,10000,1.28
MX,Ciudad Juárez,-106.4833,31.7333,29.04,23,10000,1.34
KR,Jeju City,126.5219,33.5097,24.93,86,10000,3.62
BR,Cajazeiras,-38.5553,-6.8903,24.95,65,10000,3.9
US,Clarksburg,-80.3445,39.2807,19.05,85,10000,3.09
CA,Crooked Creek,-78.5076,43.9744,19.58,92,10000,2.22
CN,Chongqing,106.5528,29.5628,32.92,52,10000,3.58
RU,Chokurdakh,147.9167,70.6333,15.59,42,10000,2.91
IR,Sarakhs,61.1577,36.5449,39.01,8,10000,3.31
GN,Conakry,-13.6773,9.538,27.17,76,10000,2.64
TR,Çanakkale Province,26.8333,40.0833,26.0,43,10000,6.34
BD,Comilla,91.2044,23.4578,28.02,90,10000,5.39
US,San Diego,-117.1573,32.7153,15.09,88,10000,1.34
AU,Coolah,149.7,-31.8333,9.84,62,10000,0.82
RO,Cluj,23.8184,46.6494,26.4,48,10000,1.49
US,College Station,-96.3344,30.628,25.75,89,10000,3.66
US,Port Angeles,-123.4307,48.1181,11.17,93,10000,2.9
PR,Carolina,-65.9574,18.3808,28.95,79,10000,1.79
CO,Santiago de Cali,-76.5225,3.4372,19.04,91,10000,0.55
US,Clarks Point,-158.5508,58.8442,8.1,88,10000,5.66
US,Charlotte,-80.8431,35.2271,21.72,89,10000,0.45
US,Columbus,-82.9988,39.9612,18.27,86,10000,0.45
US,Tampa,-82.4584,27.9475,26.97,84,10000,4.02
AR,Clorinda,-57.7185,-25.2848,20.09,61,10000,3.63
FR,Calvi,8.8333,42.5,26.14,64,10000,2.4
VE,Calabozo,-67.4293,8.9242,25.79,83,10000,0.51
AU,Cunnamulla,145.6833,-28.0667,16.93,30,10000,5.19
LK,Colombo,79.8478,6.9319,27.33,83,10000,5.55
BR,Camocim,-40.8411,-2.9022,28.3,64,10000,5.42
AU,Cootamundra,148.0333,-34.65,5.53,78,10000,0.75
MX,Ciudad del Carmen,-91.8333,18.6333,25.98,81,10000,4.61
US,Champaign,-88.2001,40.1334,18.67,84,10000,4.02
AU,Camooweal,138.1167,-19.9167,25.39,40,10000,2.82
BZ,Carmelita,-88.5434,18.0114,24.41,95,10000,0.59
FR,Arrondissement de Clermont,2.4167,49.5,23.94,47,10000,2.78
BR,Cametá,-49.4958,-2.2444,26.76,70,10000,1.24
BR,Coromandel,-47.2003,-18.4733,18.46,47,10000,2.98
US,Hancock,-83.6666,41.0167,16.87,89,10000,5.06
PT,Caia,-7.3652,39.2425,33.95,34,10000,1.34
MX,Cananea,-110.3,30.95,20.21,33,10000,2.03
AU,Coonamble,148.4,-30.95,12.1,54,10000,2.38
RO,Constanța,28.65,44.1833,30.39,50,10000,3.13
US,Cañon City,-105.2424,38.441,18.27,46,10000,6.69
AU,Cloncurry,140.5,-20.7,24.97,36,10000,2.26
DK,Sindal,10.2031,57.4712,16.85,67,10000,6.3
US,Chino,-117.6889,34.0122,14.48,83,10000,0.89
AR,Corrientes,-58.8341,-27.4806,21.66,77,10000,3.58
CL,Chañaral,-71.4333,-29.0333,11.98,86,10000,5.72
AU,Cairns,145.7667,-16.9167,21.16,96,10000,3.14
AR,Charata,-61.188,-27.2144,21.64,77,10000,4.89
TH,Chiang Mai,99.0,18.75,28.55,86,10000,0.45
US,Columbia,-81.0348,34.0007,21.78,96,10000,3.01
US,Cody,-109.0565,44.5263,10.42,77,10000,0.89
US,Merritt Island,-80.672,28.5392,26.51,85,10000,2.24
AU,Coonabarabran,149.2833,-31.2667,10.4,57,10000,0.2
ES,Coll,0.7709,42.4728,26.74,57,10000,2.75
BJ,Cotonou,2.4183,6.3654,26.96,72,10000,6.52
MN,Choibalsan,114.5,48.0667,20.47,47,10000,3.63
AR,Córdoba,-64.1811,-31.4135,12.74,66,10000,1.85
US,Columbia,-81.0348,34.0007,21.77,96,10000,3.01
BS,Congo Town,-77.5833,24.1667,28.22,76,10000,4.36
AU,Coober Pedy,134.7549,-29.0142,12.85,95,10000,4.63
AR,Carmen de Patagones,-62.981,-40.7983,8.84,56,10000,3.45
DK,Copenhagen,12.5655,55.6759,17.36,62,10000,7.2
CL,Copiapó,-70.3333,-27.3667,8.83,60,10000,0.69
US,Casper,-106.3131,42.8666,14.84,81,10000,2.24
ZA,Cape Town,18.4232,-33.9258,15.45,75,10000,1.34
BR,Cururupu,-44.8683,-1.8283,27.03,81,10000,2.02
BR,Canarana,-41.7689,-11.6847,22.95,56,10000,5.92
BR,Costa Marques,-64.2272,-12.445,22.81,65,10000,0.85
RO,Craiova,23.8,44.3167,28.32,42,10000,2.68
AU,Collarenebri,148.5833,-29.55,13.44,49,10000,2.88
AR,Comodoro Rivadavia,-67.5,-45.8667,5.17,67,10000,1.99
US,Myrtle Beach,-78.8867,33.6891,23.39,85,10000,0.45
CF,Carnot,15.8665,4.9409,27.1,76,10000,1.25
US,Corcoran,-119.5604,36.098,14.74,67,10000,2.79
US,Corpus Christi,-97.3964,27.8006,26.5,94,10000,3.09
BR,Caravelas,-39.2481,-17.7125,24.98,67,10000,2.03
US,Ceres,-120.9577,37.5949,13.24,84,10000,2.43
IT,Crotone,17.1178,39.0851,27.88,55,10000,2.29
US,Carlton Hill,-74.111,40.8463,19.93,92,4023,1.54
TM,Turkmenabat,63.5786,39.0733,39.52,8,10000,4.18
CA,Colonsay,-105.8845,51.9834,14.76,81,10000,1.95
RO,Caransebeş,22.2167,45.4167,27.04,51,10000,2.77
FR,Creil,2.4848,49.2567,24.57,43,10000,2.93
AU,Casino,153.05,-28.8667,10.87,75,10000,0.88
US,San Luis Obispo,-120.5343,35.3666,9.97,91,10000,0.67
CO,Casuarito,-67.6421,5.6823,23.26,97,10000,1.54
BR,Cassilândia,-51.7342,-19.1133,19.89,50,10000,1.93
BR,Santa Cruz do Sul,-52.4258,-29.7175,18.73,79,10000,1.37
CN,Changsha,112.9667,28.2,28.03,79,10000,2.75
RU,Cheboksary,47.2519,56.1322,19.99,58,10000,2.35
IT,Catania,15.0872,37.5021,29.33,50,10000,5.14
GT,Coatepeque,-91.8667,14.7,24.0,82,10000,2.16
CO,Cartagena,-75.5144,10.3997,26.88,81,10000,1.34
AU,Charleville,146.25,-26.4,19.45,30,10000,5.38
AU,Cooktown,145.25,-15.4667,23.76,77,10000,5.64
BR,Carutapera,-46.02,-1.195,26.28,89,10000,2.64
US,Cattle Creek,-107.2626,39.4583,11.84,46,10000,1.31
FR,Le Castellet,5.7764,43.2029,27.87,50,10000,6.4
CN,Chengdu,104.0667,30.6667,27.09,81,10000,1.67
US,Cottonwood,-112.0099,34.7392,19.22,16,10000,1.34
US,Cortland,-76.083,42.6001,18.61,89,10000,3.47
US,Cross City,-83.1251,29.6344,26.66,84,10000,2.47
MX,Ciudad Constitución,-111.6644,25.0369,20.29,71,10000,3.38
CO,Cúcuta,-72.5053,7.8833,25.24,69,10000,0.72
AU,Caloundra,153.1333,-26.8,12.24,89,10000,1.01
IT,Cuneo,7.5445,44.3973,28.84,45,10000,2.57
AU,Cudal,148.75,-33.2833,7.09,80,10000,0.82
US,Cushing,-96.767,35.9851,20.33,76,10000,4.29
ES,Currillo,-7.6791,43.1655,24.47,46,10000,2.9
MX,Culiacán,-107.3897,24.7994,24.58,85,10000,1.03
VE,Cumana,-64.1775,10.4635,27.15,77,10000,2.61
MX,Cancún,-86.8466,21.1743,23.92,100,10000,1.55
BR,Caruru,-49.0536,-28.4111,19.45,66,10000,1.38
AU,Moomba,143.2,-13.9333,21.22,86,10000,5.46
CW,Curaçao,-69.0,12.1667,27.0,84,10000,7.12
AR,Cutral-Có,-69.2089,-38.9469,6.06,10,10000,1.79
MX,Chihuahua,-106.0,28.5,23.41,29,10000,1.44
VE,Casigua El Cubo,-72.5197,8.7449,23.85,98,10000,0.76
ES,Cue,-4.7345,43.4122,21.09,76,10000,4.16
PE,Cusco,-71.9781,-13.5183,0.13,86,10000,0.0
AU,Cleve,136.5,-33.7,10.13,79,10000,1.56
FR,Courchevel,6.6366,45.4341,23.77,51,10000,3.25
US,Cincinnati,-84.4569,39.162,18.96,86,3219,2.06
AR,Caleta Olivia,-67.5281,-46.4393,3.17,79,10000,2.96
AU,Carnarvon,113.6333,-24.8667,16.04,46,10000,8.89
GB,Coventry,-1.5122,52.4066,18.31,76,10000,4.12
US,Mineral Wells,-98.1128,32.8085,26.44,67,10000,3.55
AU,Cowra,148.6833,-33.8333,9.05,71,10000,1.08
AU,Corowa,146.3833,-36.0333,8.56,95,10000,2.32
BD,Cox’s Bāzār,91.9798,21.4532,27.02,86,10000,5.84
US,Chitina,-144.4403,61.5169,10.15,87,10000,2.2
US,Coldfoot,-150.1842,67.2564,9.62,73,10000,1.02
CA,Vancouver,-123.1193,49.2497,14.15,81,10000,2.24
AU,Charters Towers,146.2667,-20.1,17.91,88,10000,3.46
US,Crystal Lake,-88.3162,42.2411,16.15,83,10000,4.47
US,Chefornak,-164.2658,60.16,8.28,90,10000,7.03
AU,Corryong,147.8833,-36.2,7.04,94,10000,0.32
TW,Chiayi,120.4535,23.4811,32.03,76,10000,1.82
MX,Coyoles,-96.6858,19.4825,19.87,84,10000,2.66
GB,Chatham,0.5279,51.3789,22.18,35,10000,2.24
PH,Calbayog City,124.6042,12.0672,27.12,84,10000,0.49
DE,Cologne,6.95,50.9333,22.64,45,10000,6.69
US,Cheyenne,-104.8203,41.14,15.11,97,10000,4.02
PH,Cuyo,121.0086,10.8525,28.34,79,10000,4.49
RU,Chersky,161.33,68.7522,5.99,68,10000,2.68
PH,Cauayan,122.6249,9.9718,26.77,86,10000,3.12
CO,Corozal,-75.2928,9.3151,24.39,90,10000,1.03
PH,Corazon de Jesus,121.0315,14.6067,27.5,89,10000,2.26
US,Chisana,-142.0408,62.0661,6.53,81,10000,2.93
BR,Cruzeiro do Sul,-51.9853,-29.5128,17.76,84,10000,2.39
CN,Changzhou,119.9667,31.7833,28.14,78,10000,3.6
FR,Cluny,4.6585,46.4332,26.04,47,10000,2.96
PT,Campo,-8.4649,41.1852,28.07,68,10000,3.13
US,Fort Belvoir,-77.1459,38.7119,21.58,81,10000,0.45
US,Daytona Beach,-81.0228,29.2108,25.98,83,10000,4.02
BD,Dhaka,90.4074,23.7104,26.99,78,3200,6.17
VN,Turan,108.2208,16.0678,28.34,79,10000,4.49
ID,Daup,115.2984,-8.2181,16.3,93,7940,1.72
SY,Damascus,36.2913,33.5102,34.4,12,10000,4.91
FR,Dabo,7.2364,48.6537,22.4,33,10000,2.38
NP,Dārchulā,80.5287,29.8412,27.92,78,7686,1.9
TZ,Dar es Salaam,39.2695,-6.8235,28.49,47,10000,5.22
CN,Datong,113.2914,40.0936,28.39,22,10000,3.58
PG,Daru,143.2092,-9.0763,25.16,84,10000,6.99
PA,David,-82.4308,8.4273,25.68,90,10000,2.68
US,Dayton,-84.1916,39.7589,18.93,86,4828,4.63
AF,Darwaz,70.819,38.4068,22.51,26,10000,1.56
PK,Dalbandin,64.4101,28.8947,41.52,13,10000,3.31
IN,Dhanbad,86.45,23.8,28.43,73,7104,4.41
US,Dubuque,-90.8668,42.4833,17.06,72,10000,2.54
ET,Debre Tabor,38.0167,11.85,19.63,51,10000,2.1
HR,Dubrovnik,18.0922,42.6481,27.05,56,10000,2.24
AU,Dalby,151.2667,-27.1833,13.37,37,10000,2.64
CN,Dandong,124.3947,40.1292,20.67,94,10000,3.68
PR,Dorado,-66.2677,18.4588,29.3,77,10000,2.1
PK,Dadu,67.7763,26.7329,43.08,26,10000,4.19
PK,Dera Ghazi Khan,70.6348,30.0561,41.07,30,10000,2.72
HU,Debrecen,21.6333,47.5333,26.22,59,10000,5.43
IR,Dezful,48.4058,32.3811,46.2,5,10000,3.83
IN,Delhi,77.2167,28.6667,36.38,40,10000,3.65
ET,Dembī Dolo,34.8,8.5333,20.79,71,10000,2.21
SY,Dayr az Zawr,40.1408,35.3359,38.18,19,10000,7.57
BZ,Stann Creek Town,-88.2321,16.9692,26.65,81,10000,1.38
AU,Mudgee,149.5871,-32.5943,7.66,67,10000,1.09
MX,Durango,-104.8333,24.8333,18.0,51,10000,1.72
NZ,Dargaville,173.8833,-35.9333,11.32,87,10000,3.84
PH,Dumaguete,123.3081,9.3103,27.22,81,10000,2.4
BF,Dédougou,-3.4667,12.4667,33.72,44,10000,4.23
RU,Dalnegorsk,135.5701,44.5604,18.72,100,197,0.93
NP,Dhangadhi,80.5961,28.7079,34.17,50,10000,3.61
BD,Dhala,90.1068,25.0191,27.49,85,10000,4.76
US,Dothan,-85.3905,31.2232,25.96,93,10000,2.5
ES,Santander,-3.8044,43.4647,21.61,74,10000,4.02
QA,Doha,51.5333,25.2867,34.68,56,10000,5.27
IN,Dibrugarh,94.9,27.4833,29.72,82,10000,1.69
TL,Dili,125.5736,-8.5586,26.65,86,10000,1.56
US,Dickinson,-95.0513,29.4608,26.6,91,10000,0.45
VN,Dien Bien Phu,103.0167,21.3833,24.15,96,10000,0.86
BF,Diapaga,1.7889,12.0708,35.83,36,10000,2.46
ET,Dire Dawa,41.8661,9.5931,32.89,30,10000,1.41
CG,Dolisie,12.6739,-4.1997,28.89,52,10000,1.73
IN,Diu,70.9822,20.7141,27.26,88,5450,6.48
CI,Divo,-5.36,5.8397,26.37,66,10000,1.88
TR,Diyarbakır,40.2189,37.9158,37.99,14,10000,3.6
BJ,Djougou,1.666,9.7085,29.95,57,10000,2.36
DZ,Djerba,4.9779,36.8119,29.45,46,10000,4.14
AE,Dubai,55.3047,25.2582,35.84,62,10000,6.85
CG,Djambala,14.7533,-2.5447,28.91,49,10000,1.84
CI,Daloa,-6.4502,6.8774,25.01,72,10000,1.93
NG,Katsina,7.6006,12.9894,34.95,32,10000,1.99
SN,Dakar,-17.4441,14.6937,25.3,77,10000,4.46
RU,Dikson,80.5464,73.5069,0.59,83,10000,5.16
CM,Douala,9.7043,4.0483,24.72,90,10000,2.94
CN,Dalian,121.6022,38.9122,22.12,83,10000,4.54
US,Del Rio,-100.8968,29.3627,27.35,57,10000,1.79
US,Dillingham,-158.4575,59.0397,8.49,87,10000,7.77
US,Duluth,-92.1066,46.7833,15.15,90,10000,0.45
TR,Dalaman,28.8028,36.7659,28.92,70,10000,5.66
US,Dillon,-79.3712,34.4166,23.93,86,10000,3.35
RU,Dalnerechensk,133.7225,45.9339,20.03,90,10000,2.92
CN,Dali,100.1833,25.7,21.33,76,10000,2.48
KZ,Zhambyl,71.3969,47.2069,24.86,18,10000,13.06
SA,Dammam,50.1033,26.4344,36.58,38,10000,4.31
YE,Dhamar,44.4051,14.5427,25.95,26,10000,1.76
BR,Diamantino,-56.4461,-14.4086,22.82,50,10000,3.16
IN,Dimāpur,93.7333,25.9,27.1,91,10000,1.18
US,Dunbar,-81.7374,38.3606,19.08,93,10000,1.79
CI,Danané,-8.155,7.2596,23.93,82,10000,1.17
GB,Dundee,-2.9667,56.5,14.28,94,10000,2.15
CN,Dunhuang,94.6833,40.1667,31.0,13,10000,4.8
SD,Wad Medani,33.5199,14.4012,38.3,24,10000,6.65
GB,Denham,-0.5,51.5667,21.11,58,10000,4.63
CM,Dang,11.2333,4.75,27.82,69,6881,1.43
AU,Deniliquin,144.9667,-35.5333,8.86,88,10000,3.26
TR,Denizli Province,29.0698,37.8402,31.74,34,10000,2.29
GB,Dornoch,-4.0288,57.8805,12.77,91,10000,2.68
TZ,Dodoma,35.7395,-6.1722,27.87,33,10000,2.32
SD,Dongola,30.4833,19.1667,42.72,8,10000,6.11
UA,Donetsk,37.8,48.0,22.53,47,10000,5.64
CL,Dos Lagunas,-72.5091,-51.5119,-0.11,99,443,0.64
BF,Dori,-0.0345,14.0354,35.75,36,10000,3.31
AU,Dongara,114.9333,-29.25,11.19,56,10000,4.72
US,Deer Park,-95.1238,29.7052,27.07,89,10000,0.45
PH,Dipolog City,123.3414,8.5894,27.02,84,10000,2.77
AU,Devonport,146.35,-41.1667,8.94,84,10000,4.4
RU,Deputatsky,139.9,69.3,13.31,46,10000,2.59
IN,Dabra,78.3333,25.9,33.06,53,10000,2.12
GR,Drama,24.1394,41.1544,28.7,50,10000,1.88
AU,Dirranbandi,148.2333,-28.5833,14.87,42,10000,3.31
DE,Dresden,13.7383,51.0509,20.42,51,10000,5.14
AU,Drummond,144.3333,-37.2333,6.83,96,10000,2.33
AU,Darwin,130.8418,-12.4611,25.5,83,10000,1.79
CM,Dschang,10.055,5.4456,20.95,89,5685,0.65
ET,Dessie,39.6333,11.1333,23.78,28,10000,3.11
CL,Valparaíso,-71.6273,-33.0393,11.73,61,10000,3.63
PK,Dera Ismail Khan,70.9024,31.8327,38.82,34,10000,1.84
PG,Daru,143.2092,-9.0763,25.16,84,10000,6.99
US,Des Moines,-93.6091,41.6005,16.3,90,10000,2.15
CN,Dongsheng,109.9776,39.8161,26.75,29,10000,2.54
BR,Diamantina,-43.6003,-18.2494,17.59,71,10000,2.88
DE,Dortmund,7.45,51.5167,22.67,48,10000,4.92
US,Dublin,-121.9358,37.7021,11.52,87,10000,0.45
NZ,Dunedin,170.5036,-45.8742,11.0,95,1927,0.45
US,Dundas,-93.2019,44.4294,16.67,86,10000,1.53
US,Duncan,-97.9578,34.5023,24.16,76,10000,4.23
ZA,Durban,31.0292,-29.8579,20.07,78,10000,6.96
DE,Düsseldorf,6.7762,51.2217,21.75,56,10000,6.17
US,Dutch Harbor,-166.5422,53.8898,7.94,87,8047,5.14
RO,Deva,22.9,45.8833,26.84,49,10000,3.66
US,Devils Lake,-98.8651,48.1128,17.75,86,10000,1.34
PH,Davao,125.7085,6.813,28.32,80,10000,6.04
MW,Dwangwa,34.1096,-12.5063,23.63,44,10000,1.91
US,Oklahoma City,-97.5164,35.4676,23.88,64,10000,4.78
AU,Dixie,142.9333,-38.3,8.92,98,10000,2.06
US,Dysart,-92.3063,42.1717,15.82,57,10000,0.45
CN,Dayong,118.2898,25.0209,26.37,84,10000,1.62
US,Doylestown,-75.1299,40.3101,19.36,96,10000,0.59
AU,Daly Waters,133.3667,-16.25,24.45,55,10000,3.0
