Ville,Description jour,Timezone,Latitude,Longitude,Date,Heure_locale,Max_Température,Min_Température,Température_actuelle,Humidité,Precipitation,Neige,Neige_densité,Vent_rafale,Vent_vitesse,Vent_direction,Pression,Nuage,Visibilité,Radiation_solaire,Energy_solaire,Soleil_coucher,Alerte_risk,Description_detailed,Conditions_météo,Alertes_météo,Alertes_description,Vitesse_vent
"Ankara, Türkiye",Similar temperatures continuing with no rain expected.,Europe/Istanbul,39.9211,32.8539,2023-06-29,16:50:00,27.3,14.6,27.9,65.5,0.0,0.0,0.0,49.3,24.8,291.6,1013.0,39.0,,355.1,30.5,20:21:16,10.0,Partly cloudy throughout the day.,Partially cloudy,,,24.8
Malta,Similar temperatures continuing with no rain expected.,Europe/Malta,35.8935,14.5118,2023-06-29,16:15:00,29.0,22.8,28.9,77.0,0.0,0.0,0.0,35.6,18.7,257.0,1014.5,6.9,,352.5,30.5,20:22:29,15.0,Clear conditions throughout the day.,Clear,,,18.7
"Köln, Nordrhein-Westfalen, Deutschland","Similar temperatures continuing with a chance of rain tomorrow, Saturday & Sunday.",Europe/Berlin,50.9417,6.95517,2023-06-29,16:15:00,25.0,16.9,24.3,70.6,0.2,0.0,0.0,21.2,8.3,184.1,1015.0,93.1,,88.7,7.6,21:50:05,10.0,Cloudy skies throughout the day with late afternoon rain.,"Rain, Overcast",,,8.3
"Lomé, Maritime, Togo",Similar temperatures continuing with no rain expected.,Africa/Lome,6.1397,1.22959,2023-06-29,14:00:00,29.0,24.8,29.0,78.6,0.9,0.0,0.0,24.8,19.4,213.1,1015.0,51.9,,215.8,18.5,18:12:48,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,19.4
"Conakry, Guinée",Similar temperatures continuing with a chance of rain multiple days.,Africa/Conakry,9.51198,-13.7054,2023-06-29,12:00:00,27.3,24.0,27.0,86.2,4.4,0.0,,18.7,18.4,199.9,1014.8,88.3,,274.0,23.5,19:18:29,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,18.4
"Abidjan, Côte d'Ivoire",Similar temperatures continuing with a chance of rain multiple days.,Africa/Abidjan,5.32691,-4.02173,2023-06-29,14:30:00,26.0,23.0,24.0,93.2,17.2,0.0,,24.1,20.5,240.9,1014.9,81.0,,46.9,4.1,18:32:24,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,20.5
"Stanfield Ave, Dartmouth, NS B2X, Canada",Similar temperatures continuing with a chance of rain multiple days.,America/Halifax,44.70297,-63.53135,2023-06-29,11:30:00,17.9,15.2,17.4,97.1,19.2,0.0,0.0,34.6,23.0,168.5,1021.2,89.7,,52.8,4.6,21:03:42,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,23.0
"Ottawa, ON, Canada",Similar temperatures continuing with a chance of rain multiple days.,America/Toronto,45.4218,-75.6912,2023-06-29,10:25:00,26.9,17.9,23.2,66.6,0.0,0.0,0.0,33.5,13.0,285.7,1014.6,49.8,,281.3,24.3,20:55:11,10.0,Partly cloudy throughout the day.,Partially cloudy,air quality,"
Very high levels of air pollution due to smoke from forest fires is expected today and tonight and possibly through Friday.

Smoke plumes from forest fires over northeastern Ontario and Quebec will move into the area today, resulting in deteriorated air quality. These conditions are expected to continue into Saturday.

Air quality and visibility due to wildfire smoke can fluctuate over short distances and can vary considerably from hour to hour. 

For more details, please consult www.canada.ca/en/environment-climate-change/services/air-quality-health-index/wildfire-smoke.html.

###

Wildfire smoke can be harmful to everyone’s health even at low concentrations. Continue to take actions to protect your health and reduce exposure to smoke.

People with lung disease (such as asthma) or heart disease, older adults, children, pregnant people, and people who work outdoors are at higher risk of experiencing health effects caused by wildfire smoke.

Visit www.airhealth.ca for information on how to reduce your health risk and your personal contribution to pollution levels, as well as for current and forecast AQHI values.

Please continue to monitor alerts and forecasts issued by Environment Canada.
",13.0
"Québec, QC, Canada",Similar temperatures continuing with a chance of rain multiple days.,America/Toronto,46.8127,-71.2193,2023-06-29,10:25:00,20.4,17.3,17.6,93.1,3.557,0.0,0.0,19.1,17.3,241.0,1013.3,83.9,,125.5,11.0,20:43:03,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,17.3
"Toronto, ON, Canada",Similar temperatures continuing with no rain expected.,America/Toronto,43.6487,-79.3855,2023-06-29,10:00:00,22.3,13.6,20.0,62.2,0.0,0.0,0.0,31.7,18.2,218.4,1016.3,17.5,,298.8,25.9,21:03:06,10.0,Clear conditions throughout the day.,Clear,air quality,"
High levels of air pollution due to smoke from forest fires will likely return today or tonight.

Smoke plumes from forest fires in northeastern Ontario and Quebec is forecast to return to the area today or tonight. As a result, the air quality is expected deteriorate once again. The poor air quality will likely last into Friday.

Air quality and visibility due to wildfire smoke can fluctuate over short distances and can vary considerably from hour to hour.

For more details, please consult www.canada.ca/en/environment-climate-change/services/air-quality-health-index/wildfire-smoke.html.

###

Wildfire smoke can be harmful to everyone’s health even at low concentrations. Everyone can take action to reduce their exposure to wildfire smoke.

People with lung disease (such as asthma) or heart disease, older adults, children, pregnant people, and people who work outdoors are at higher risk of experiencing health effects caused by wildfire smoke. Speak with your health care provider about developing a management plan for wildfire smoke events and maintaining a supply of necessary medications at home and always carrying these medications with you during wildfire season.

Visit www.airhealth.ca for information on how to reduce your health risk and your personal contribution to pollution levels, as well as for current and forecast AQHI values.

Please continue to monitor alerts and forecasts issued by Environment Canada.
",18.2
"Windsor, ON, Canada",Similar temperatures continuing with a chance of rain multiple days.,America/Toronto,42.3178,-83.0339,2023-06-29,10:25:00,27.7,16.1,21.3,68.8,0.34,0.0,0.0,33.5,18.7,155.8,1014.7,62.1,,277.7,24.0,21:12:53,10.0,Clearing in the afternoon with morning rain.,"Rain, Partially cloudy",air quality,"
Very high levels of air pollution due to smoke from forest fires is expected to continue.

Smoke plumes from forest fires over northeastern Ontario and Quebec are resulting in deteriorated air quality. Poor air quality may persist into tonight or Friday for some areas.

Air quality and visibility due to wildfire smoke can fluctuate over short distances and can vary considerably from hour to hour.

For more details, please consult www.canada.ca/en/environment-climate-change/services/air-quality-health-index/wildfire-smoke.html.

###

Wildfire smoke can be harmful to everyone’s health even at low concentrations. Everyone can take action to reduce their exposure to wildfire smoke.

People with lung disease (such as asthma) or heart disease, older adults, children, pregnant people, and people who work outdoors are at higher risk of experiencing health effects caused by wildfire smoke. Speak with your health care provider about developing a management plan for wildfire smoke events and maintaining a supply of necessary medications at home and always carrying these medications with you during wildfire season.

Visit www.airhealth.ca for information on how to reduce your health risk and your personal contribution to pollution levels, as well as for current and forecast AQHI values.

Please continue to monitor alerts and forecasts issued by Environment Canada.
",18.7
"Calgary, AB, Canada",Similar temperatures continuing with a chance of rain multiple days.,America/Edmonton,51.0453,-114.063,2023-06-29,08:30:00,28.5,11.3,29.5,57.1,1.3,0.0,0.0,26.3,17.3,319.0,1012.3,28.9,,288.2,25.0,21:54:39,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",heat,"
Temperatures near or above 29 degrees Celsius combined with overnight lows near 14 degrees Celsius continue.

Temperatures will moderate this weekend.

###

Heat warnings are issued when very high temperature conditions are expected to pose an elevated risk of heat illnesses, such as heat stroke or heat exhaustion.

For more heat health advice, visit:  www.albertahealthservices.ca/news/heat.aspx.

Please continue to monitor alerts and forecasts issued by Environment Canada. To report severe weather, send an email to ABstorm@ec.gc.ca or tweet reports using #ABStorm.
",17.3
"Edmonton International Airport, Leduc County, AB, Canada",Similar temperatures continuing with a chance of rain multiple days.,America/Edmonton,53.3097,-113.58011,2023-06-29,08:00:00,27.3,13.0,18.0,66.2,3.3,0.0,0.0,23.4,16.6,204.1,1010.3,43.5,,280.8,24.3,22:05:45,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,16.6
"Victoria, BC, Canada",Similar temperatures continuing with no rain expected.,America/Vancouver,48.4286,-123.364,2023-06-29,07:30:00,19.3,12.9,13.3,74.3,0.0,0.0,0.0,51.8,26.8,235.5,1017.0,42.2,,322.2,27.9,21:18:49,10.0,Partly cloudy throughout the day.,Partially cloudy,,,26.8
"Sudbury, England, United Kingdom","Similar temperatures continuing with a chance of rain tomorrow, Saturday & Tuesday.",Europe/London,52.0386,0.7344,2023-06-29,15:15:00,20.2,14.5,20.5,78.6,11.3,0.0,0.0,34.9,17.2,326.2,1015.2,71.9,,179.0,15.4,21:21:01,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,17.2
"Luleå, Norrbottens län, Sverige",Similar temperatures continuing with a chance of rain tomorrow.,Europe/Stockholm,65.5839,22.1522,2023-06-29,16:20:00,25.0,16.0,21.4,67.1,1.6,0.0,0.0,15.1,14.8,182.7,1007.8,41.8,,323.3,28.1,23:51:59,10.0,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",,,14.8
"Tirstrupvej, 8240 Aarhus, Danmark","Similar temperatures continuing with a chance of rain Saturday, Sunday & Wednesday.",Europe/Copenhagen,56.19757,10.23386,2023-06-29,16:29:00,22.7,17.8,21.2,81.0,2.3,0.0,0.0,29.2,14.0,213.5,1012.0,96.3,,141.6,12.1,22:10:27,10.0,Cloudy skies throughout the day with rain.,"Rain, Overcast",,,14.0
"Aalborg, Nordjylland, Danmark",Similar temperatures continuing with a chance of rain multiple days.,Europe/Copenhagen,57.0494,9.9163,2023-06-29,16:20:00,22.0,17.0,21.9,89.7,4.1,0.0,0.0,28.1,16.6,220.7,1010.8,99.4,,109.8,9.5,22:18:31,10.0,Cloudy skies throughout the day with rain.,"Rain, Overcast",,,16.6
"Bergen, Vestland, Norge",Similar temperatures continuing with a chance of rain multiple days.,Europe/Oslo,60.3908,5.33283,2023-06-29,16:28:00,17.0,12.0,16.4,86.7,4.6,0.0,0.0,33.1,22.4,325.6,1010.9,89.7,,178.9,15.6,23:09:33,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,22.4
"Stavanger, Rogaland, Norge",Similar temperatures continuing with a chance of rain multiple days.,Europe/Oslo,58.971,5.73064,2023-06-29,16:30:00,15.9,13.4,14.6,88.0,8.1,0.0,0.0,38.2,22.8,322.9,1010.6,95.2,,50.3,4.0,22:52:38,10.0,Cloudy skies throughout the day with rain.,"Rain, Overcast",,,22.8
"Tromsø, Troms og Finnmark, Norge",Similar temperatures continuing with no rain expected.,Europe/Oslo,69.6514,18.9561,2023-06-29,16:20:00,18.8,9.9,15.0,78.5,0.0,0.0,0.0,21.2,27.7,21.9,1011.1,48.5,,336.3,29.0,00:00:00,10.0,Partly cloudy throughout the day.,Partially cloudy,,,27.7
"Östersund, Jämtlands län, Sverige",Similar temperatures continuing with a chance of rain multiple days.,Europe/Stockholm,63.178,14.6428,2023-06-29,15:50:00,24.9,15.0,18.0,39.1,0.1,0.0,0.0,29.9,11.2,162.6,1007.9,94.7,,235.6,20.3,23:12:54,10.0,Cloudy skies throughout the day.,Overcast,Rain,"Large amounts of rain are expected from Friday evening until Saturday afternoon. This can cause local flooding problems.; What happens: An area of rain moves in from the south from Friday night and could bring heavy rain. The night towards Saturday and Saturday morning is expected to have the highest intensity, and locally it may then be downpour-like rain. The rain eases off on Saturday afternoon, but is expected to continue at a lower intensity over the weekend.; What to expect: Traffic can be slower due to flooded roads.
Risk of, for example, basements, stormwater systems, roads and viaducts being flooded.; Where: The middle parts of Jämtland county, southern Västernorrland county and the northernmost part of Gävleborg county.",11.2
"Kristiansand, Agder, Norge",Similar temperatures continuing with a chance of rain multiple days.,Europe/Oslo,58.1438,7.99486,2023-06-29,16:20:00,18.0,15.8,17.0,89.4,23.6,0.0,0.0,25.9,18.0,210.3,1009.4,85.5,,51.6,4.5,22:35:42,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,18.0
"Skellefteå, Västerbottens län, Sverige",Similar temperatures continuing with no rain expected.,Europe/Stockholm,64.7495,20.9559,2023-06-29,16:20:00,26.0,13.0,26.0,70.3,0.3,0.0,0.0,20.2,13.0,79.6,1008.0,22.0,,302.6,26.2,23:24:00,10.0,Partly cloudy throughout the day with afternoon rain.,"Rain, Partially cloudy",,,13.0
"Trondheim, Trøndelag, Norge",Similar temperatures continuing with a chance of rain multiple days.,Europe/Oslo,63.431,10.3921,2023-06-29,16:25:00,17.0,12.3,14.4,87.0,3.4,0.0,0.0,29.2,29.5,279.2,1010.1,91.5,,45.3,3.9,23:34:43,10.0,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,,29.5
"Kolkata, WB, India",Similar temperatures continuing with a chance of rain tomorrow.,Asia/Kolkata,22.5705,88.3712,2023-06-29,19:30:00,31.0,27.0,29.0,86.1,6.4,0.0,0.0,36.4,19.8,162.6,1003.5,89.2,,176.3,15.1,18:25:03,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,19.8
"Bengaluru, KA, India",Similar temperatures continuing with a chance of rain multiple days.,Asia/Kolkata,12.9664,77.5872,2023-06-29,19:30:00,29.9,20.0,23.9,78.9,2.7,0.0,0.0,37.1,28.0,253.4,1013.8,63.2,,165.5,14.3,18:49:31,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,28.0
"Chennai, TN, India",Similar temperatures continuing with a chance of rain multiple days.,Asia/Kolkata,13.0836,80.2825,2023-06-29,20:00:00,37.0,28.5,30.5,68.6,1.4,0.0,,33.5,27.4,243.2,1006.2,57.2,,218.4,18.9,18:38:57,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,27.4
"Hyderabad, TS, India","Cooling down with a chance of rain Monday, Tuesday & Wednesday.",Asia/Kolkata,17.3949,78.4708,2023-06-29,19:30:00,31.9,24.0,28.0,66.6,0.2,0.0,0.0,40.7,23.9,255.3,1008.9,77.0,,215.9,18.6,18:54:18,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,23.9
"Indore, MP, India",Similar temperatures continuing with a chance of rain multiple days.,Asia/Kolkata,22.7162,75.8651,2023-06-29,19:30:00,27.0,24.0,24.0,87.4,4.9,0.0,0.0,43.2,24.1,257.7,1004.8,89.1,,150.1,13.0,19:15:23,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,24.1
"Ahmedabad, GJ, India",Similar temperatures continuing with a chance of rain multiple days.,Asia/Kolkata,23.0278,72.6003,2023-06-29,19:30:00,28.0,27.0,27.0,91.6,37.7,0.0,0.0,39.6,22.3,240.4,1002.0,100.0,,121.1,10.5,19:29:06,30.0,Cloudy skies throughout the day with storms possible.,"Rain, Overcast",,,22.3
"Pune, MH, India",Similar temperatures continuing with a chance of rain multiple days.,Asia/Kolkata,18.5042,73.8529,2023-06-29,20:00:00,23.5,22.0,22.0,89.9,9.0,0.0,0.0,44.6,18.7,248.2,1008.0,100.0,,36.1,3.3,19:14:56,10.0,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,,18.7
"Cassidy, Nanaimo District, BC, Canada",Similar temperatures continuing with no rain expected.,America/Vancouver,49.05153,-123.87541,2023-06-29,07:00:00,24.4,16.0,15.9,68.8,0.0,0.0,0.0,14.4,15.1,103.7,1016.5,50.4,,294.6,25.7,21:23:48,10.0,Partly cloudy throughout the day.,Partially cloudy,,,15.1
"London, England, United Kingdom",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,Europe/London,51.5064,-0.12721,2023-06-29,15:26:00,22.1,15.6,21.2,70.0,4.4,0.0,0.0,31.3,15.9,320.9,1015.8,77.7,,131.6,11.5,21:21:29,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,15.9
"Basel, BS, Schweiz","Warming up with a chance of rain tomorrow, Wednesday & Thursday.",Europe/Zurich,47.5488,7.58782,2023-06-29,16:30:00,29.0,14.0,28.9,61.6,0.1,0.0,0.0,33.5,7.6,283.5,1015.0,66.2,,181.5,15.6,21:31:04,10.0,Partly cloudy throughout the day with late afternoon rain.,"Rain, Partially cloudy",,,7.6
"Ludhiana Railway Station, Ludhiana, PB, India","Similar temperatures continuing with a chance of rain Saturday, Sunday & Thursday.",Asia/Kolkata,30.91393,75.848,2023-06-29,20:00:00,36.7,26.4,32.9,61.0,12.0,0.0,0.0,29.5,15.8,134.9,1000.3,58.7,,161.6,13.9,19:33:59,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,15.8
"Rail Ave, Geneva, IA 50633, United States",Similar temperatures continuing with a chance of rain Wednesday & Thursday.,America/Chicago,42.69792,-93.17333,2023-06-29,09:15:00,31.2,18.6,23.0,73.6,0.8,0.0,0.0,16.6,11.2,353.2,1010.7,39.1,,291.5,25.0,20:54:47,30.0,Partly cloudy throughout the day.,Partially cloudy,Air Quality Alert,"...Air Quality Advisory Continues for the Eastern Half of Iowa
Through Midnight Thursday Night...
The Iowa Department of Natural Resources has extended an Air
Quality Advisory for the Eastern half of Iowa through Thursday
night.
Fine particulate levels near or above EPA health standards are
expected to remain elevated today and persist in these areas
through midnight Thursday night. Elevated levels of fine
particulates may be a concern over the next several days as the
smoke moves through the state.
The DNR recommends that people reduce long or intense activities,
and take more breaks during outdoor activities until air quality
conditions improve. The recommendation is especially pertinent to
individuals with heart or lung disease, older adults, children and
teenagers, and outdoor workers. People in these categories should
consider rescheduling or moving outdoor activities indoors.",11.2
"Punta Cana, Higüey, República Dominicana",Similar temperatures continuing with a chance of rain tomorrow.,America/Santo_Domingo,18.5608,-68.3648,2023-06-29,10:00:00,29.1,25.0,28.0,80.3,8.4,0.0,,31.7,26.6,140.1,1013.5,53.9,,290.6,25.1,19:13:57,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,26.6
"Strada Djerba Midoun, 105500 Bușteni, România",Similar temperatures continuing with a chance of rain multiple days.,Europe/Bucharest,45.3923,25.5369,2023-06-29,17:30:00,15.7,6.5,21.7,74.4,0.0,0.0,0.0,21.2,8.6,340.9,1015.4,45.9,,330.1,28.4,21:10:11,10.0,Partly cloudy throughout the day.,Partially cloudy,,,8.6
"الغردقة, مصر",Similar temperatures continuing with no rain expected.,Africa/Cairo,27.2505,33.8176,2023-06-29,17:00:00,37.0,28.0,37.9,28.6,0.0,0.0,0.0,58.7,33.1,334.0,1007.3,2.1,,327.9,28.4,19:43:27,10.0,Clear conditions throughout the day.,Clear,,,33.1
"Marsa, Malta",Similar temperatures continuing with no rain expected.,Europe/Malta,35.8852,14.4975,2023-06-29,16:15:00,29.0,22.8,28.9,77.0,0.0,0.0,0.0,35.6,18.7,257.0,1014.5,6.9,,352.5,30.5,20:22:31,15.0,Clear conditions throughout the day.,Clear,,,18.7
"Las Palmas de Gran Canaria, Islas Canarias, España",Similar temperatures continuing with no rain expected.,Atlantic/Canary,28.1303,-15.4397,2023-06-29,15:00:00,29.0,21.9,28.1,62.1,0.0,0.0,,23.8,48.2,16.6,1018.3,14.4,,337.4,29.1,21:02:30,10.0,Clear conditions throughout the day.,Clear,,,48.2
"Urb. Fuerteventura Golf-Club, Antigua, Islas Canarias, España",Similar temperatures continuing with no rain expected.,Atlantic/Canary,28.3908,-13.864,2023-06-29,15:00:00,27.0,22.3,27.0,74.9,0.0,0.0,,40.0,31.7,17.8,1017.4,10.4,,352.5,30.6,20:56:48,10.0,Clear conditions throughout the day.,Clear,Moderate high-temperature warning,"Maximum temperature: 34 ºC. Afectando principalmente a medianías de las vertientes oeste, sur y sudeste. En costas solo afectará de forma local.",31.7
"Tenerife, Colombia",Similar temperatures continuing with a chance of rain multiple days.,America/Bogota,9.89942,-74.8602,2023-06-29,09:00:00,33.6,24.7,31.0,80.8,0.5,0.0,0.0,34.2,19.1,333.5,1007.1,91.4,,269.7,23.2,18:23:49,100.0,Cloudy skies throughout the day with strong storms possible.,Overcast,,,19.1
"Eivissa, Illes Balears, Espanya",Similar temperatures continuing with no rain expected.,Europe/Madrid,38.9063,1.41954,2023-06-29,16:30:00,29.0,23.0,28.4,77.0,0.0,0.0,0.0,26.3,16.6,87.2,1014.3,51.3,,339.8,29.3,21:23:47,15.0,Partly cloudy throughout the day.,Partially cloudy,,,16.6
"Funchal, Portugal",Similar temperatures continuing with no rain expected.,Atlantic/Madeira,32.6469,-16.9085,2023-06-29,15:25:00,26.9,22.7,25.2,59.5,0.0,0.0,0.0,25.6,36.6,41.6,1021.7,17.7,,265.6,22.8,21:19:24,10.0,Clear conditions throughout the day.,Clear,Yellow High Temperature Warning,Persistence of high values of maximum temperature.,36.6
"Faro, Portugal",Similar temperatures continuing with no rain expected.,Europe/Lisbon,37.0149,-7.93424,2023-06-29,15:00:00,32.0,22.5,30.0,49.1,0.0,0.0,0.0,42.8,32.4,299.8,1015.0,0.0,,355.4,30.6,20:55:29,10.0,Clear conditions throughout the day.,Clear,Yellow High Temperature Warning,Persistence of high values of maximum temperature.,32.4
"Edinburgh, Scotland, United Kingdom",Similar temperatures continuing with a chance of rain multiple days.,Europe/London,55.9544,-3.20144,2023-06-29,15:25:00,18.8,7.1,16.9,75.1,0.0,0.0,0.0,45.4,27.0,255.4,1014.4,42.0,,283.5,24.7,22:02:20,10.0,Partly cloudy throughout the day.,Partially cloudy,,,27.0
"Κέρκυρα, Ιόνια Νησιά, Ελλάδα",Similar temperatures continuing with no rain expected.,Europe/Athens,39.6186,19.9077,2023-06-29,17:20:00,28.9,20.9,28.9,69.4,0.2,0.0,0.0,20.9,11.2,252.9,1012.6,29.3,,345.0,29.7,21:12:05,10.0,Partly cloudy throughout the day with morning rain.,"Rain, Partially cloudy",,,11.2
"Χανιά, Κρήτη, Ελλάδα",Similar temperatures continuing with no rain expected.,Europe/Athens,35.512,24.0123,2023-06-29,17:20:00,29.0,21.7,28.0,70.3,0.0,0.0,0.0,46.8,31.7,275.3,1012.4,15.1,,361.5,31.2,20:43:24,10.0,Clear conditions throughout the day.,Clear,,,31.7
"Ρόδος, Νότιο Αιγαίο, Ελλάδα",Similar temperatures continuing with no rain expected.,Europe/Athens,36.4481,28.2257,2023-06-29,17:21:00,30.0,22.8,28.3,63.4,0.0,0.0,0.0,49.3,34.2,250.8,1008.7,5.2,,351.2,30.2,20:29:12,5.0,Clear conditions throughout the day.,Clear,,,34.2
"Μύκονος, Νότιο Αιγαίο, Ελλάδα",Similar temperatures continuing with no rain expected.,Europe/Athens,37.4426,25.3294,2023-06-29,16:50:00,28.9,22.9,26.0,61.8,0.0,0.0,0.0,37.8,37.0,351.9,1011.6,6.3,,343.6,29.6,20:43:42,10.0,Clear conditions throughout the day.,Clear,,,37.0
"Samos, Galicia, España",Similar temperatures continuing with no rain expected.,Europe/Madrid,42.7307,-7.32672,2023-06-29,16:29:00,19.2,11.9,17.5,84.3,0.0,0.0,0.0,64.8,20.9,5.1,1021.7,73.5,,234.2,20.1,22:11:32,10.0,Partly cloudy throughout the day.,Partially cloudy,,,20.9
"Λάρνακα, Κύπρος",Warming up with no rain expected.,Asia/Nicosia,34.9161,33.6197,2023-06-29,17:30:00,32.0,22.0,28.5,73.9,0.0,0.0,0.0,44.3,33.1,199.1,1008.2,20.3,,287.7,25.0,20:03:19,10.0,Partly cloudy throughout the day.,Partially cloudy,,,33.1
"Lamezia Terme, Calabria, Italia",Similar temperatures continuing with a chance of rain Tuesday.,Europe/Rome,38.9734,16.3171,2023-06-29,16:20:00,30.2,18.8,28.4,75.7,0.0,0.0,0.0,32.4,16.2,80.7,1014.1,19.5,,355.0,30.6,20:24:24,10.0,Clear conditions throughout the day.,Clear,,,16.2
"Olbia, Sardegna, Italia",Similar temperatures continuing with no rain expected.,Europe/Rome,40.9182,9.49639,2023-06-29,16:20:00,29.9,18.0,28.9,68.0,0.0,0.0,0.0,26.3,18.3,72.0,1014.1,51.6,,348.1,30.1,20:57:58,10.0,Partly cloudy throughout the day.,Partially cloudy,Yellow Wind Warning,"Moderate intensity weather phenomena expected Bocche di Bonifacio
 (DISCLAIMER: ""Information provided on METEOALARM for Italy regard only the intensity and recurrence of the phenomena, further details can be found at www.meteoam.it. METEOALARM information do not provide the assessment of impact on the territory and they do not represent the Official Alerts messages that are issued by the National Civil Protection Service https://www.protezionecivile.gov.it"")",18.3
"Catania, Sicilia, Italia",Similar temperatures continuing with no rain expected.,Europe/Rome,37.5114,15.0675,2023-06-29,16:16:00,28.9,19.9,26.7,75.8,0.0,0.0,0.0,41.0,22.8,84.6,1013.6,37.0,,314.3,27.1,20:24:57,30.0,Clearing in the afternoon.,Partially cloudy,,,22.8
"Tivat, Crna Gora",Similar temperatures continuing with a chance of rain Saturday & Sunday.,Europe/Podgorica,42.425,18.7055,2023-06-29,16:30:00,26.9,20.0,25.0,58.4,0.8,0.0,0.0,55.4,13.0,285.8,1013.7,47.7,,340.0,29.3,20:26:19,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,13.0
"Split, Hrvatska","Similar temperatures continuing with a chance of rain tomorrow, Saturday & Sunday.",Europe/Zagreb,43.5028,16.4427,2023-06-29,16:00:00,27.9,19.0,27.9,45.2,0.0,0.0,0.0,25.6,22.3,290.3,1014.6,0.6,,349.6,30.1,20:39:16,10.0,Clear conditions throughout the day.,Clear,,,22.3
"Jalan Kuala Namu, Binjai 20726, Indonesia",Similar temperatures continuing with a chance of rain multiple days.,Asia/Jakarta,3.55923,98.4937,2023-06-29,20:00:00,32.0,22.6,26.0,81.2,17.9,0.0,0.0,11.5,22.3,44.4,1009.5,57.0,,235.6,20.4,18:39:13,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,22.3
"Đà Nẵng, Việt Nam","Similar temperatures continuing with a chance of rain tomorrow, Saturday & Sunday.",Asia/Ho_Chi_Minh,16.0746,108.224,2023-06-29,21:30:00,34.0,26.0,28.0,73.7,0.3,0.0,,20.5,18.3,144.5,1006.5,25.7,,288.7,25.0,18:22:45,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,18.3
"Denpasar, Indonesia",Similar temperatures continuing with a chance of rain multiple days.,Asia/Makassar,-8.67324,115.20339,2023-06-29,22:00:00,31.0,25.0,27.0,84.4,4.0,0.0,,17.3,14.8,143.0,1011.3,38.7,,237.0,20.4,18:11:16,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,14.8
"Perth, WA 6000, Australia",Similar temperatures continuing with a chance of rain Monday & Tuesday.,Australia/Perth,-31.9527,115.857,2023-06-29,22:30:00,16.7,2.7,5.0,73.0,0.0,0.0,0.0,24.1,15.2,73.0,1031.9,24.5,,114.2,9.9,17:22:18,10.0,Partly cloudy throughout the day.,Partially cloudy,,,15.2
"Darwin, NT 0800, Australia",Similar temperatures continuing with no rain expected.,Australia/Darwin,-12.4609,130.842,2023-06-30,23:55:00,29.4,23.4,23.7,65.8,0.3,0.0,,39.2,28.8,66.4,1012.3,33.5,,226.6,19.5,18:32:16,10.0,Becoming cloudy in the afternoon.,Partially cloudy,,,28.8
"Adelaide, SA 5000, Australia","Similar temperatures continuing with a chance of rain today, tomorrow & Thursday.",Australia/Adelaide,-34.9258,138.6,2023-06-30,00:10:00,13.4,12.4,11.4,80.7,3.3,0.0,0.0,29.5,21.6,242.5,1025.3,95.1,,49.6,4.2,17:14:15,10.0,Cloudy skies throughout the day with morning rain.,"Rain, Overcast",,,21.6
"Melbourne, VIC 3004, Australia","Similar temperatures continuing with a chance of rain today, tomorrow & Tuesday.",Australia/Melbourne,-37.81738,144.96755,2023-06-30,00:29:00,14.1,10.0,11.6,75.1,0.7,0.0,0.0,43.6,22.8,271.0,1018.4,81.5,,66.7,5.7,17:10:57,10.0,Partly cloudy throughout the day with afternoon rain.,"Rain, Partially cloudy",,,22.8
