City,Description jour,Timezone,Latitude,Longitude,Date,Current time,Max_Température,Min_Température,Current temperature,Humidité,Precipitation,Neige,Neige_densité,Vent_rafale,Vent_vitesse,Vent_direction,Pression,Nuage,Visibilité,Solar radiation,Energy_solaire,Soleil_coucher,Alert risk,Description,Weather conditions,Weather alerts,Alertes_description,Vitesse_vent
"Ailigandí, Comarca Kuna Yala, Panamá",Similar temperatures continuing with a chance of rain multiple days.,America/Panama,9.11772,-77.92449,2023-07-06,16:00:00,27.6,23.0,24.9,96.3,12.4,0.0,0.0,11.2,4.3,202.3,1010.0,91.9,,108.1,9.3,18:35:33,75.0,Cloudy skies throughout the day with strong storms possible.,"Rain, Overcast",,,4.3
"Wainwright, AB, Canada",Similar temperatures continuing with a chance of rain Tuesday & Wednesday.,America/Edmonton,52.8434,-110.852,2023-07-06,15:00:00,24.6,10.2,24.6,66.1,0.0,0.0,0.0,20.2,15.8,348.4,1014.9,24.8,,313.5,27.0,21:48:52,10.0,Partly cloudy throughout the day.,Partially cloudy,,,15.8
"Atlantic, Shelburne Municipal District, NS, Canada",Similar temperatures continuing with a chance of rain Tuesday & Wednesday.,America/Halifax,43.58205,-65.34699,2023-07-06,18:00:00,22.3,12.5,15.4,94.4,0.0,0.0,0.0,24.5,22.3,251.2,1014.7,73.1,,296.0,25.7,21:05:11,10.0,Partly cloudy throughout the day.,Partially cloudy,,,22.3
"Adampur, Haryana, India","Similar temperatures continuing with a chance of rain tomorrow, Sunday & Monday.",Asia/Kolkata,29.2797,75.4795,2023-07-07,03:00:00,38.7,29.9,30.1,53.8,1.1,0.0,0.0,22.7,24.8,122.7,1000.0,59.9,,275.0,23.7,19:31:11,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,24.8
"Aripuanã, MT, Brasil",Similar temperatures continuing with no rain expected.,America/Cuiaba,-10.1834,-59.4413,2023-07-06,17:00:00,34.7,19.9,30.3,49.8,0.0,0.0,0.0,14.0,7.6,92.9,1011.6,11.3,,239.8,20.7,17:49:04,10.0,Clear conditions throughout the day.,Clear,,,7.6
"Bader Ave, Atlantic City, NJ 08401, United States",Similar temperatures continuing with a chance of rain Sunday & Monday.,America/New_York,39.36783,-74.41551,2023-07-06,17:05:00,30.9,20.7,26.7,83.0,0.0,0.0,0.0,29.5,15.9,140.9,1013.7,47.3,,285.9,24.8,20:27:29,30.0,Clearing in the afternoon.,Partially cloudy,,,15.9
"Kaiser, MO, United States",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,America/Chicago,38.13967,-92.58679,2023-07-06,16:10:00,29.5,18.9,28.3,64.0,0.0,0.0,0.0,22.3,14.6,356.2,1015.6,27.8,,231.8,19.9,20:36:28,10.0,Becoming cloudy in the afternoon.,Partially cloudy,,,14.6
"Ajaccio, Corse, France",Similar temperatures continuing with no rain expected.,Europe/Paris,41.9172,8.73444,2023-07-06,23:00:00,29.0,19.0,22.0,67.7,0.1,0.0,0.0,19.1,27.6,199.8,1015.1,43.3,,345.2,29.7,21:03:08,10.0,Clearing in the afternoon with early morning rain.,"Rain, Partially cloudy",,,27.6
"الجوف, السعودية",Similar temperatures continuing with no rain expected.,Asia/Riyadh,29.99238,40.13722,2023-07-07,23:00:00,40.9,27.5,32.0,14.5,0.0,0.0,0.0,22.3,13.7,294.4,1003.8,0.0,,341.5,29.4,19:24:11,10.0,Clear conditions throughout the day.,Clear,,,13.7
"Ağrı, Türkiye","Similar temperatures continuing with a chance of rain Sunday, Monday & Tuesday.",Europe/Istanbul,39.7208,43.0508,2023-07-07,23:50:00,30.3,14.4,22.9,51.6,0.0,0.0,0.0,34.9,18.4,84.7,1008.5,18.7,,351.0,30.3,19:38:31,10.0,Clear conditions throughout the day.,Clear,,,18.4
"أكجوجت, إينشيري, موريتانيا",Similar temperatures continuing with no rain expected.,Africa/Nouakchott,19.5686,-14.9315,2023-07-06,21:00:00,46.5,27.4,29.9,35.9,0.0,0.0,0.0,39.2,31.3,190.8,1007.9,46.7,,295.0,25.5,19:42:32,15.0,Partly cloudy throughout the day.,Partially cloudy,,,31.3
"Varaak, Iran",Similar temperatures continuing with no rain expected.,Asia/Tehran,36.69788,51.10196,2023-07-07,00:30:00,28.6,23.5,24.0,60.7,0.0,0.0,0.0,9.4,10.8,31.7,1011.7,1.0,,335.2,29.0,19:27:26,10.0,Clear conditions throughout the day.,Clear,,,10.8
"Arvidsjaur, Norrbottens län, Sverige","Similar temperatures continuing with a chance of rain tomorrow, Saturday & Wednesday.",Europe/Stockholm,65.5901,19.1836,2023-07-06,22:50:00,19.0,11.0,15.0,67.4,0.0,0.0,0.0,32.4,20.5,111.6,1011.6,69.5,,201.9,17.6,23:40:47,10.0,Partly cloudy throughout the day.,Partially cloudy,,,20.5
"Punta Abreojos, Mulegé, BCS, México",Similar temperatures continuing with no rain expected.,America/Mazatlan,26.71957,-113.57127,2023-07-06,14:00:00,18.2,17.1,17.5,93.9,0.0,0.0,0.0,51.8,38.9,290.2,1011.4,57.0,,319.9,27.8,19:31:42,10.0,Partly cloudy throughout the day.,Partially cloudy,,,38.9
"Aracaju, SE, Brasil",Similar temperatures continuing with a chance of rain multiple days.,America/Maceio,-10.9092,-37.0745,2023-07-06,18:00:00,26.0,21.0,23.0,85.1,6.9,0.0,,28.1,21.2,141.1,1017.3,71.5,,152.5,13.1,17:18:21,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,21.2
"Akron, OH, United States",Similar temperatures continuing with a chance of rain Saturday & Sunday.,America/New_York,41.0843,-81.5143,2023-07-06,17:10:00,30.4,21.5,28.7,73.0,12.7,0.0,0.0,31.7,22.9,222.0,1012.4,32.0,,164.5,14.2,21:01:18,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,22.9
"Akola, Maharashtra, India",Similar temperatures continuing with a chance of rain multiple days.,Asia/Kolkata,20.7064,77.0029,2023-07-07,03:00:00,32.8,26.0,26.3,71.0,10.3,0.0,0.0,38.5,28.1,265.5,1001.8,99.4,,171.6,14.6,19:06:59,10.0,Cloudy skies throughout the day with rain.,"Rain, Overcast",,,28.1
"Akieni, Léconi-Djoué, Gabon",Similar temperatures continuing with a chance of rain tomorrow & Saturday.,Africa/Libreville,-1.1741,13.87639,2023-07-06,16:00:00,32.2,21.0,27.0,65.3,0.7,0.0,0.0,26.3,11.2,218.4,1013.1,50.4,,276.2,23.8,18:10:56,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,11.2
"Via Kufra, 13100 Vercelli VC, Italia",Similar temperatures continuing with a chance of rain multiple days.,Europe/Rome,45.3124,8.42969,2023-07-06,23:00:00,24.2,19.3,19.8,76.0,6.4,0.0,0.0,25.2,18.6,52.4,1015.7,50.2,,237.9,20.5,21:16:35,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",Yellow Thunderstorm Warning,"Moderate intensity weather phenomena expected Alps
 (DISCLAIMER: ""Information provided on METEOALARM for Italy regard only the intensity and recurrence of the phenomena, further details can be found at www.meteoam.it. METEOALARM information do not provide the assessment of impact on the territory and they do not represent the Official Alerts messages that are issued by the National Civil Protection Service https://www.protezionecivile.gov.it"")",18.6
"Akiak, AK, United States",Warming up with a chance of rain multiple days.,America/Anchorage,60.9097,-161.223,2023-07-06,13:20:00,13.4,9.4,12.7,92.6,2.4,0.0,0.0,38.2,24.1,171.1,1010.8,100.0,,22.1,1.8,00:14:57,10.0,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,,24.1
"Asahikawa, Japan",Similar temperatures continuing with a chance of rain multiple days.,Asia/Tokyo,43.7765,142.372,2023-07-07,20:00:00,25.0,17.0,20.0,88.1,4.7,0.0,0.0,37.8,13.3,268.1,1005.0,61.5,,211.4,18.1,19:14:51,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,13.3
"Akhiok, AK, United States",Warming up with a chance of rain multiple days.,America/Anchorage,56.94514,-154.17184,2023-07-06,13:20:00,12.1,8.9,12.0,94.6,1.0,0.0,0.0,40.0,17.6,136.1,1017.5,94.2,,107.3,9.1,23:09:22,10.0,Cloudy skies throughout the day with afternoon rain.,"Rain, Overcast",,,17.6
"Auckland, New Zealand",Similar temperatures continuing with a chance of rain multiple days.,Pacific/Auckland,-36.8523,174.764,2023-07-07,09:10:00,14.3,6.0,14.3,92.5,20.7,0.0,0.0,58.7,32.0,45.7,1012.3,78.2,,24.2,2.0,17:17:48,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,32.0
"Bakouma, République Centrafricaine",Similar temperatures continuing with a chance of rain multiple days.,Africa/Bangui,5.69795,22.78435,2023-07-06,22:00:00,25.0,19.6,19.8,93.2,11.7,0.0,0.0,16.9,6.8,267.8,1013.0,81.1,,142.4,12.3,17:46:50,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,6.8
"King Salmon, AK, United States",Warming up with a chance of rain multiple days.,America/Anchorage,58.6971,-156.702,2023-07-06,12:54:00,16.9,5.7,13.9,72.0,0.1,0.0,0.0,53.6,42.4,169.5,1012.6,66.8,,260.1,22.5,23:34:11,10.0,Partly cloudy throughout the day.,Partially cloudy,,,42.4
"Akron, CO, United States",Similar temperatures continuing with a chance of rain Saturday & Sunday.,America/Denver,40.15914,-103.21206,2023-07-06,15:20:00,22.8,12.9,21.0,88.8,4.0,0.0,0.0,48.2,31.7,142.3,1015.1,92.4,,160.5,13.7,20:25:06,60.0,Cloudy skies throughout the day with storms possible.,"Rain, Overcast",Severe Thunderstorm Watch,"SEVERE THUNDERSTORM WATCH 454 IS IN EFFECT UNTIL 1000 PM MDT
FOR THE FOLLOWING LOCATIONS
CO
.    COLORADO COUNTIES INCLUDED ARE
ADAMS                ARAPAHOE            BOULDER
BROOMFIELD           DENVER              DOUGLAS
ELBERT               JEFFERSON           LARIMER
LINCOLN              LOGAN               MORGAN
WASHINGTON           WELD",31.7
"Anaktuvuk Pass, AK, United States",Similar temperatures continuing with a chance of rain multiple days.,America/Anchorage,68.1335,-151.747,2023-07-06,13:00:00,11.8,8.1,11.8,83.1,0.2,0.0,0.0,24.5,20.5,191.3,1014.5,99.1,,87.0,7.5,00:00:00,10.0,Cloudy skies throughout the day with a chance of rain.,"Rain, Overcast",Special Weather Statement,"...Rising Rivers Through the Weekend...
Numerous rain showers through Saturday will cause rises in creeks
and rivers in the Western and Central Brooks Range through the
weekend. Additional rainfall of 1 to 2 inches is expected over
the Western and Central Brooks range through Saturday.
People in the Western and Central Brooks range and along
waterways north and west of Galena should should remain alert for
the possibility of rising water levels through the weekend.",20.5
"Astra Ksetra Kel., Menggala, Tulangbawang, Indonesia",Similar temperatures continuing with a chance of rain multiple days.,Asia/Jakarta,-4.60722,105.22461,2023-07-07,04:00:00,26.4,23.7,24.3,90.5,3.5,0.0,0.0,12.6,8.6,145.8,1011.4,97.6,,21.2,1.7,17:59:57,10.0,Cloudy skies throughout the day with a chance of rain throughout the day.,"Rain, Overcast",,,8.6
"Akure, Ondo, Nigeria",Similar temperatures continuing with a chance of rain multiple days.,Africa/Lagos,7.2481,5.17928,2023-07-06,22:00:00,29.3,21.2,22.8,86.3,2.9,0.0,0.0,14.4,6.8,236.8,1012.5,77.0,,196.3,16.8,18:59:54,60.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,6.8
"Akulivik, QC, Canada",Similar temperatures continuing with a chance of rain multiple days.,America/Toronto,60.80976,-78.18996,2023-07-06,17:00:00,3.5,2.4,3.2,94.6,3.1,0.0,0.0,39.2,27.0,232.1,1005.3,75.5,,110.6,9.5,22:41:57,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,27.0
"Agha Jari, Iran",Similar temperatures continuing with no rain expected.,Asia/Tehran,30.77215,49.77159,2023-07-07,00:30:00,47.2,33.9,38.9,13.5,0.0,0.0,0.0,26.3,18.4,167.9,997.3,1.9,,343.3,29.8,19:17:29,10.0,Clear conditions throughout the day.,Clear,,,18.4
"Ақтөбе, Қазақстан",Cooling down with no rain expected.,Asia/Aqtobe,50.2822,57.2101,2023-07-07,02:00:00,33.8,21.9,23.0,44.3,0.0,0.0,0.0,42.8,23.8,41.3,1015.2,42.9,,331.6,28.7,21:22:41,30.0,Partly cloudy throughout the day.,Partially cloudy,,,23.8
"စစ်တွေ, ရခိုင်ပြည်နယ်, MMR",Similar temperatures continuing with a chance of rain multiple days.,Asia/Yangon,20.1429,92.8991,2023-07-07,04:00:00,29.9,24.9,25.0,84.2,7.0,0.0,0.0,29.9,18.0,144.5,1008.3,87.3,,302.3,26.0,19:02:18,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,18.0
"Алматы, Қазақстан",Warming up with no rain expected.,Asia/Almaty,43.2507,76.8881,2023-07-07,03:00:00,26.7,15.6,19.0,47.2,2.5,0.0,0.0,31.0,19.1,191.8,1010.3,64.3,,270.7,23.2,20:34:50,10.0,Partly cloudy throughout the day.,Partially cloudy,,,19.1
"Alicante, Comunidad Valenciana, España",Similar temperatures continuing with no rain expected.,Europe/Madrid,38.3441,-0.48043,2023-07-06,23:15:00,29.0,25.0,25.7,74.0,0.1,0.0,0.0,33.1,22.2,77.5,1013.7,50.9,,271.5,23.4,21:28:43,15.0,Partly cloudy throughout the day with afternoon rain.,"Rain, Partially cloudy",,,22.2
"Alta, Troms og Finnmark, Norge",Similar temperatures continuing with no rain expected.,Europe/Oslo,69.9684,23.2708,2023-07-06,22:50:00,14.9,10.9,10.9,74.7,0.8,0.0,0.0,38.9,33.4,0.2,1012.3,76.9,,303.2,25.9,00:00:00,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,33.4
الجزائر,Similar temperatures continuing with no rain expected.,Africa/Algiers,36.7716,3.05927,2023-07-06,22:00:00,31.0,22.0,26.0,77.6,0.0,0.0,0.0,38.2,22.3,2.0,1012.3,54.0,,325.3,28.0,20:10:01,15.0,Partly cloudy throughout the day.,Partially cloudy,,,22.3
"Albany, NY, United States","Similar temperatures continuing with a chance of rain tomorrow, Sunday & Monday.",America/New_York,42.6516,-73.7552,2023-07-06,17:05:00,32.8,20.9,32.8,69.0,0.3,0.0,0.0,35.3,11.3,171.1,1013.2,39.6,,198.9,17.0,20:35:31,60.0,Becoming cloudy in the afternoon.,Partially cloudy,Heat Advisory,"...HEAT ADVISORY REMAINS IN EFFECT UNTIL 8 PM EDT THIS EVENING...
* WHAT...Heat index values between 95 and 100 degrees.
* WHERE...Much of the Hudson and Mohawk River valleys in eastern
New York and eastern Windham County in southern Vermont.
* WHEN...Until 8 PM EDT this evening.
* IMPACTS...Hot temperatures and high humidity may cause heat
illnesses to occur.",11.3
"Industrial Blvd, Alice, TX 78332, United States",Similar temperatures continuing with no rain expected.,America/Chicago,27.77239,-98.07874,2023-07-06,15:56:00,32.8,25.2,25.2,85.2,17.039,0.0,0.0,39.1,28.6,128.7,1013.8,67.3,,118.7,10.2,20:32:04,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,28.6
"Alexander Bay, Northern Cape, South Africa",Warming up with a chance of rain tomorrow & Saturday.,Africa/Johannesburg,-28.6088,16.4911,2023-07-06,23:00:00,28.1,17.5,18.5,22.3,0.0,0.0,0.0,31.0,20.9,16.3,1017.3,81.0,,150.9,13.0,18:10:22,10.0,Partly cloudy throughout the day.,Partially cloudy,,,20.9
"Asela, Dodotana Sire, Ethiopia",Similar temperatures continuing with a chance of rain multiple days.,Africa/Addis_Ababa,8.25647,39.2832,2023-07-07,23:00:00,25.5,15.3,13.0,66.6,2.6,0.0,0.0,47.9,25.6,232.0,1014.3,43.1,,264.0,22.9,18:45:17,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,25.6
"Albenga, Liguria, Italia",Similar temperatures continuing with a chance of rain tomorrow.,Europe/Rome,44.0487,8.21513,2023-07-06,23:03:00,27.9,19.1,20.8,77.2,0.2,0.0,0.0,25.2,21.4,53.3,1015.4,63.4,,899.7,76.8,21:12:41,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,21.4
"N White Sands Blvd, Alamogordo, NM 88310, United States",Similar temperatures continuing with a chance of rain Monday & Tuesday.,America/Denver,32.92197,-105.96054,2023-07-06,15:00:00,37.6,26.6,39.9,25.9,0.018,0.0,0.0,44.6,29.0,171.9,1011.2,8.9,,360.4,31.3,20:15:47,10.0,Clear conditions throughout the day with afternoon rain.,Rain,Heat Advisory,"...HEAT ADVISORY IN EFFECT FROM MIDNIGHT SATURDAY NIGHT TO 6 AM
MDT TUESDAY...
* WHAT...Temperatures of 104 to 107 expected.
* WHERE...Portions of south central and southwest New Mexico and
southwest Texas.
* WHEN...From midnight Saturday night to 6 AM MDT Tuesday.
* IMPACTS...Very hot temperatures will significantly increase
the potential for heat related illnesses, particularly for
those working or participating in outdoor activities.
* ADDITIONAL DETAILS...Heat products could be extended or upgraded
through next week as this period of prolonged hot temperatures
continues.",29.0
"Rue St-Louis, Acton Vale, QC J0H, Canada",Similar temperatures continuing with a chance of rain multiple days.,America/Toronto,45.62136,-72.55622,2023-07-06,17:00:00,31.4,20.8,30.7,74.8,0.0,0.0,0.0,18.7,10.1,200.9,1012.2,12.9,,325.7,28.1,20:41:39,30.0,Clear conditions throughout the day.,Clear,heat,"
The heat will continue today with humidex values near 40. In addition, nights will remain uncomfortable with minimum temperatures near 20 degrees Celsius. The humidity will linger on Friday and humidex values are expected to reach between 35 and 38.

###

Extreme heat affects everyone.

Heat warnings are issued when very high temperature or humidity conditions are expected to pose an elevated risk of heat illnesses, such as heat stroke or heat exhaustion.

Please continue to monitor alerts and forecasts issued by Environment Canada. To report severe weather, send an email to QCstorm@ec.gc.ca or tweet reports using #QCStorm.
",10.1
"Waterloo, ON, Canada",Similar temperatures continuing with a chance of rain tomorrow & Thursday.,America/Toronto,43.4634,-80.5208,2023-07-06,17:09:37,28.6,17.2,22.6,83.6,19.709,0.0,0.0,52.9,26.7,256.0,1012.4,44.1,,154.8,13.3,21:05:26,30.0,Becoming cloudy in the afternoon with storms possible.,"Rain, Partially cloudy",heat,"
A multi-day heat event continues.

Maximum temperatures:
29 to 32 degrees Celsius 
 
Minimum temperatures:
18 to 21 degrees Celsius

Humidex:
37 to 40

Timing:
Today. 

Discussion:
Areas near the lakes could be slightly cooler than regions further inland.
Conditions will start to improve from west to east this afternoon with the passage of the cold front.

Hot and humid air can also bring deteriorating air quality and can result in the Air Quality Health Index approaching the high risk category.

###

Extreme heat affects everyone.

The risks are greater for young children, pregnant women, older adults, people with chronic illnesses and people working or exercising outdoors.

Watch for the effects of heat illness: swelling, rash, cramps, fainting, heat exhaustion, heat stroke and the worsening of some health conditions.

Heat warnings are issued when very high temperature or humidity conditions are expected to pose an elevated risk of heat illnesses, such as heat stroke or heat exhaustion.

Please continue to monitor alerts and forecasts issued by Environment Canada. To report severe weather, send an email to ONstorm@ec.gc.ca or tweet reports using #ONStorm.
",26.7
"N Aleppo Ct, Casa Grande, AZ 85122, United States",Similar temperatures continuing with no rain expected.,America/Phoenix,32.98263,-111.76011,2023-07-06,14:15:00,43.4,24.4,42.9,15.4,0.0,0.0,0.0,30.8,22.3,252.9,1006.5,0.9,,336.0,28.9,19:39:07,10.0,Clear conditions throughout the day.,Clear,Excessive Heat Warning,"...EXCESSIVE HEAT WARNING NOW IN EFFECT UNTIL 8 PM MST THURSDAY...
* WHAT...Dangerously hot conditions. Afternoon temperatures 106 to
114 through the weekend, increasing to between 110 to 118 by
early to middle next week.
* WHERE...Portions of south central Arizona.
* WHEN...Until 8 PM MST Thursday.
* IMPACTS...Overexposure can cause heat cramps and heat
exhaustion to develop and, without intervention, can lead to
heat stroke.",22.3
"Rua Pinheiro Machado, Cidade Alta, Alegrete - RS, 97543-440, Brasil",Cooling down with a chance of rain multiple days.,America/Sao_Paulo,-29.79663,-55.79954,2023-07-06,18:00:00,24.0,16.3,19.1,74.8,0.5,0.0,0.0,41.8,22.7,2.3,1012.3,74.9,,73.2,6.3,17:57:00,10.0,Partly cloudy throughout the day with rain in the morning and afternoon.,"Rain, Partially cloudy",,,22.7
"Alexandra, Gauteng, South Africa",Similar temperatures continuing with no rain expected.,Africa/Johannesburg,-26.1054,28.0986,2023-07-06,23:05:00,17.1,4.2,6.2,56.8,0.0,0.0,0.0,13.0,10.7,338.9,1031.4,16.8,,130.4,11.3,17:29:15,10.0,Clear conditions throughout the day.,Clear,,,10.7
"Alenquer, PA, Brasil","Similar temperatures continuing with a chance of rain Monday, Wednesday & Thursday.",America/Santarem,-1.94092,-54.7364,2023-07-06,18:00:00,31.0,24.0,30.0,82.9,0.0,0.0,0.0,34.9,24.1,95.7,1012.0,46.0,,215.0,18.6,18:44:08,10.0,Partly cloudy throughout the day.,Partially cloudy,,,24.1
"علولا, باري, الصومال",Similar temperatures continuing with no rain expected.,Africa/Mogadishu,11.7407,50.827,2023-07-07,00:00:00,39.7,29.0,31.9,38.4,0.0,0.0,0.0,22.7,27.4,312.1,1003.5,62.9,,301.3,26.0,18:05:09,5.0,Partly cloudy throughout the day.,Partially cloudy,,,27.4
"Walla Walla, WA, United States",Similar temperatures continuing with no rain expected.,America/Los_Angeles,46.0707,-118.343,2023-07-06,14:15:00,36.7,18.3,36.0,30.6,0.0,0.0,0.0,29.5,18.1,79.5,1009.1,4.4,,330.6,28.7,20:46:31,10.0,Clear conditions throughout the day.,Clear,,,18.1
"Amarillo, TX, United States",Similar temperatures continuing with no rain expected.,America/Chicago,35.2073,-101.834,2023-07-06,16:17:00,31.7,17.4,31.6,63.9,2.326,0.0,0.0,85.1,57.7,131.1,1013.3,30.9,,305.8,26.4,21:05:13,60.0,Clearing in the afternoon with storms possible.,"Rain, Partially cloudy",,,57.7
"Ambilobe, Madagascar",Similar temperatures continuing with a chance of rain Tuesday & Wednesday.,Indian/Antananarivo,-13.19373,49.05059,2023-07-07,18:00:00,33.0,16.5,24.6,60.9,0.0,0.0,0.0,20.9,9.7,120.7,1018.1,14.7,,223.5,19.4,17:30:05,10.0,Clear conditions throughout the day.,Clear,,,9.7
"Am-Timan, Salamat, Tchad",Similar temperatures continuing with a chance of rain multiple days.,Africa/Ndjamena,11.04182,20.28036,2023-07-06,22:00:00,31.0,22.2,24.2,68.9,5.2,0.0,0.0,33.5,15.8,149.7,1011.1,84.2,,163.8,14.2,18:06:03,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,15.8
"Ahmedabad, GJ, India",Similar temperatures continuing with a chance of rain multiple days.,Asia/Kolkata,23.0278,72.6003,2023-07-07,02:30:00,33.2,28.6,29.0,67.9,4.0,0.0,0.0,24.1,21.2,172.9,1000.3,94.0,,228.2,19.6,19:29:13,30.0,Cloudy skies throughout the day with storms possible.,"Rain, Overcast",,,21.2
"Alto Molócuè, Zambézia, Moçambique",Cooling down with a chance of rain multiple days.,Africa/Maputo,-15.64225,37.68249,2023-07-06,23:00:00,24.1,15.6,16.2,76.7,1.2,0.0,0.0,25.9,15.1,183.9,1023.3,75.6,,136.6,11.8,17:10:57,10.0,Partly cloudy throughout the day with rain.,"Rain, Partially cloudy",,,15.1
"Wamboin, NSW 2620, Australia",Similar temperatures continuing with a chance of rain tomorrow.,Australia/Sydney,-35.25574,149.26341,2023-07-07,07:15:00,7.0,3.1,6.2,90.5,1.0,0.0,0.0,45.0,27.7,307.2,1012.0,85.7,,27.1,2.3,17:04:00,10.0,Partly cloudy throughout the day with rain clearing later.,"Rain, Partially cloudy",,,27.7
"Arba Minch', Arba Minch Zuria, Ethiopia",Similar temperatures continuing with a chance of rain multiple days.,Africa/Addis_Ababa,6.01176,37.53883,2023-07-07,00:00:00,22.2,17.0,18.6,65.0,0.8,0.0,0.0,11.9,11.9,225.6,1017.0,80.5,,139.9,12.0,18:48:27,10.0,Partly cloudy throughout the day with early morning rain.,"Rain, Partially cloudy",,,11.9
"Mataram, Indonesia","Similar temperatures continuing with a chance of rain tomorrow, Sunday & Thursday.",Asia/Makassar,-8.59485,116.105,2023-07-07,05:00:00,28.8,25.0,24.0,82.4,5.1,0.0,,45.4,38.2,137.6,1011.8,75.7,,238.3,20.6,18:09:43,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,38.2
"Calle Ánimas, La Ponderosa, 34217 Durango, DGO, México",Similar temperatures continuing with a chance of rain multiple days.,America/Monterrey,24.04882,-104.65712,2023-07-06,15:20:00,27.1,16.0,25.6,66.6,1.6,0.0,0.0,25.9,17.3,14.8,1014.3,51.3,,313.3,26.8,19:50:22,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,17.3
"Puerto Armuelles, Chiriquí, Panamá",Similar temperatures continuing with a chance of rain multiple days.,America/Panama,8.28073,-82.86012,2023-07-06,16:05:00,31.0,23.0,29.0,82.2,22.5,0.0,,31.3,25.9,265.6,1009.8,70.8,,267.5,23.1,18:53:51,30.0,Becoming cloudy in the afternoon with storms possible.,"Rain, Partially cloudy",,,25.9
"عمان, الأردن",Warming up with no rain expected.,Asia/Amman,31.9518,35.9404,2023-07-07,00:00:00,28.3,17.2,21.9,59.5,0.0,0.0,0.0,46.8,24.5,285.9,1009.5,4.5,,349.5,30.3,19:45:39,10.0,Clear conditions throughout the day.,Clear,,,24.5
"Alma, MI, United States",Similar temperatures continuing with no rain expected.,America/Detroit,43.37897,-84.65703,2023-07-06,17:15:00,26.3,18.9,26.4,79.4,17.227,0.0,0.0,27.7,20.0,328.5,1012.7,81.2,,173.3,14.9,21:21:40,10.0,Partly cloudy throughout the day with a chance of rain throughout the day.,"Rain, Partially cloudy",,,20.0
"Ampanihy, Madagascar",Cooling down with no rain expected.,Indian/Antananarivo,-24.6894,44.949,2023-07-07,00:00:00,25.2,13.3,14.6,68.5,0.0,0.0,0.0,40.0,25.2,112.0,1026.0,2.2,,179.8,15.6,17:25:07,10.0,Clear conditions throughout the day.,Clear,,,25.2
"Jalan Pattimura, Ambon 97124, Indonesia",Similar temperatures continuing with a chance of rain multiple days.,Asia/Jayapura,-3.695,128.184,2023-07-07,06:00:00,28.0,24.0,29.9,85.5,16.6,0.0,,42.5,29.9,124.6,1011.6,72.6,,223.7,19.3,18:29:37,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,29.9
"Amsterdam, Noord-Holland, Nederland",Cooling down with a chance of rain multiple days.,Europe/Amsterdam,52.3699,4.90788,2023-07-06,23:09:00,20.0,12.2,16.1,71.8,0.0,0.0,0.0,38.9,27.9,234.9,1016.0,54.9,,250.0,21.8,22:03:20,10.0,Partly cloudy throughout the day.,Partially cloudy,,,27.9
"Amata, SA 0872, Australia",Similar temperatures continuing with no rain expected.,Australia/Adelaide,-26.1526,131.14616,2023-07-07,07:00:00,14.8,4.5,4.9,41.5,0.0,0.0,0.0,13.0,10.8,212.9,1023.2,0.8,,176.6,15.3,18:07:15,10.0,Clear conditions throughout the day.,Clear,,,10.8
"Amanab, West Sepik (Sandaun) Province, Papua New Guinea",Similar temperatures continuing with a chance of rain multiple days.,Pacific/Port_Moresby,-3.59078,141.17061,2023-07-07,07:00:00,30.5,21.2,21.5,89.7,10.2,0.0,0.0,7.9,6.5,15.0,1010.3,87.7,,183.0,15.9,18:37:51,30.0,Partly cloudy throughout the day with storms possible.,"Rain, Partially cloudy",,,6.5
"Амдерма, Заполярный район, Северо-Западный федеральный округ, Россия",Similar temperatures continuing with no rain expected.,Europe/Moscow,69.76229,61.66001,2023-07-07,00:00:00,9.4,0.7,9.4,96.2,0.1,0.0,,33.5,24.8,56.2,1008.3,99.7,,86.3,7.4,00:00:00,10.0,Cloudy skies throughout the day.,Overcast,,,24.8
